Ansa Boutique,+(91)-9000376345,4.5,21,"Plot No A/54, Ground Floor, Road No 70, Jubilee Hills, Hyderabad - 500033, Beside Syndicate Bank, Journalist Colony",
Kanyaa Rajsons,+(91)-40-66752030,3.8,21,"PLOT NO.702/A, Road Number 36, Jubilee Hills, Hyderabad - 500033, Pillar No 25,Beside Marks & Spencers",
Varshitha Computer Embroide..,+(91)-8008507380,5.0,20,"Yadagiri Nilayam, Medibavi, Padmarao Nagar, Hyderabad - 500025, Suresh Cinema Theater Opposite Line",
Soma Tailors,+(91)-040-66754257,4.2,20,"Shop No 10-3-315/1, Masab Tank, Hyderabad - 500028, Beside Universal Bakery, Opposite Nmdc Welfare Centre, Humayun Nagar",
Swapna Paidis Designer Stud..,+(91)-9640662359,4.4,19,"H No 8-2-704/B/23, SAI Enclave, Road No 12, Banjara Hills, Hyderabad - 500034, Near Pizza Hut",
Rajesh Silks House Exquisit..,+(91)-40-23732320,4.0,19,"Plot No. 28, Pragathi Nagar, Yousufguda, Hyderabad - 500045, Opp Sairam Manor Apartments",
Sonee Desiner & Boutique,+(91)-9440633007,4.7,18,"Shop No 10-3-761, Vijaynagar Colony X Road, Vijay Nagar Colony, Hyderabad - 500057, Beside Masjid-E-Firdous,Opp Tagore High School",
Avvaris Fashion Designes St..,+(91)-40-43099033,4.1,17,"Plot No 2-91/12/AM/528, Whitefield, Kondapur, Hyderabad - 500084, Opposite to Jayadarshini Apartments",
Sajili Indo-western Boutiqu..,+(91)-9989674194,4.0,17,"Plot Number 8-2-450, Road Number 4, Banjara Hills, Hyderabad - 500034, Opposite Gvk Mall Lane, Origins Lane",
Madhu Silk Bhandar Sajjad S..,+(91)-8790205459,3.9,17,"Plot No 8-2-120/1/2, Road Number 10, Banjara Hills, Hyderabad - 500034, Near Noor Nagar, Opposite Income Tax Colony",
Rithika Suits And Dress Mat..,+(91)-40-66347733,3.3,17,"H.No:1-19-80/42,1-19-81, Vijayapuri Colony, As Rao Nagar, Hyderabad - 500062, Opposite to Sainikpuri Petrol Bunk",
